Filename,Date,Monkey,Task,dob,date_mature,Day_to_maturation,age,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,percorr_class_9,percorr_class_10,percorr_class_11,percorr_class_12,percorr_class_13,percorr_class_14,percorr_class_15,percorr_class_16,percorr_class_17,percorr_class_18,percorr_class_19,percorr_class_20
oli033_2,01-Jul-2020,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-154,1643,0.765258215962441,0.5,0.8,0.666666666666667,1,1,0.888888888888889,1,0.5,0.888888888888889,0.8,1,1,1,1,1,0.333333333333333,0.888888888888889,0.727272727272727,0.8,0.8
oli034_2,02-Jul-2020,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,-153,1644,0.917431192660551,0.909090909090909,1,0.666666666666667,0.833333333333333,0.909090909090909,1,1,1,1,1,0.909090909090909,1,1,1,1,0.909090909090909,0.909090909090909,0.769230769230769,1,0.769230769230769
oli036_2,11-Nov-2020,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,-21,1776,0.941176470588235,1,1,0.818181818181818,0.909090909090909,1,1,1,1,1,1,0.909090909090909,1,1,0.909090909090909,0.909090909090909,0.818181818181818,0.833333333333333,0.9,1,0.9
oli037_2,12-Nov-2020,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-20,1777,0.919753086419753,0.777777777777778,0.7,0.875,1,1,0.875,0.888888888888889,1,0.875,0.888888888888889,1,1,1,1,1,0.7,1,1,1,1
oli038_2,13-Nov-2020,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-19,1778,0.715447154471545,1,0.833333333333333,1,0.8,1,0.8,1,0.571428571428571,0.8,1,0.285714285714286,1,0.363636363636364,0.8,1,0.454545454545455,0.8,0.833333333333333,0.8,0.8
oli039_2,17-Nov-2020,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-15,1782,0.838323353293413,0.777777777777778,0.7,1,0.875,1,1,0.875,0.875,0.875,1,1,1,1,1,0.875,0.777777777777778,0.318181818181818,1,1,1
oli040_2,18-Nov-2020,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-14,1783,0.916030534351145,0.857142857142857,0.857142857142857,0.857142857142857,0.857142857142857,1,1,1,1,1,1,1,1,1,1,1,0.545454545454545,1,1,0.857142857142857,0.857142857142857
oli041_2,19-Nov-2020,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-13,1784,0.938967136150235,1,0.909090909090909,0.909090909090909,1,1,1,0.909090909090909,1,0.833333333333333,1,1,1,1,1,0.909090909090909,0.714285714285714,0.833333333333333,1,0.909090909090909,1
oli042_2,20-Nov-2020,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,-12,1785,0.91324200913242,0.909090909090909,0.909090909090909,0.769230769230769,0.909090909090909,0.909090909090909,1,1,1,1,1,1,0.769230769230769,0.909090909090909,0.909090909090909,0.909090909090909,0.833333333333333,0.909090909090909,0.833333333333333,0.909090909090909,1
oli043_2,24-Nov-2020,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,-8,1789,0.911111111111111,1,0.857142857142857,0.857142857142857,0.857142857142857,1,1,1,0.875,1,1,1,1,0.75,1,1,0.857142857142857,0.857142857142857,0.75,0.857142857142857,0.875
oli044_2,25-Nov-2020,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,-7,1790,0.942408376963351,1,0.818181818181818,0.9,0.9,1,0.9,1,1,1,1,0.9,1,0.75,0.818181818181818,1,1,1,1,1,1
