Filename,Date,Monkey,Task,dob,date_mature,Day_to_maturation,age,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,ID,age_group4,mature_group4,month_to_maturation,age_month
oli037_1,12-Nov-2020,OLI,ODR3,01-Jan-2016,02-Dec-2020,-20,1777,0.96969696969697,1,1,0.888888888888889,1,1,1,0.888888888888889,1,OLI,3,3,-0.657534246575342,58.4219178082192
oli038_1,13-Nov-2020,OLI,ODR3,01-Jan-2016,02-Dec-2020,-19,1778,0.916666666666667,1,0.8,0.888888888888889,1,1,0.75,1,1,OLI,3,3,-0.624657534246575,58.4547945205479
oli039_1,17-Nov-2020,OLI,ODR3,01-Jan-2016,02-Dec-2020,-15,1782,1,1,1,1,1,1,1,1,1,OLI,3,3,-0.493150684931507,58.586301369863
oli040_1,18-Nov-2020,OLI,ODR,01-Jan-2016,02-Dec-2020,-14,1783,0.931506849315068,1,0.888888888888889,0.9,1,1,1,0.75,1,OLI,3,3,-0.46027397260274,58.6191780821918
oli041_1,19-Nov-2020,OLI,ODR,01-Jan-2016,02-Dec-2020,-13,1784,0.984615384615385,1,1,1,1,1,1,0.888888888888889,1,OLI,3,3,-0.427397260273973,58.6520547945206
oli042_1,20-Nov-2020,OLI,ODR3,01-Jan-2016,02-Dec-2020,-12,1785,1,1,1,1,1,1,1,1,1,OLI,3,3,-0.394520547945205,58.6849315068493
oli043_1,24-Nov-2020,OLI,ODR,01-Jan-2016,02-Dec-2020,-8,1789,0.901408450704225,1,1,1,1,0.888888888888889,0.888888888888889,0.615384615384615,1,OLI,3,3,-0.263013698630137,58.8164383561644
oli044_1,25-Nov-2020,OLI,ODR3,01-Jan-2016,02-Dec-2020,-7,1790,0.955223880597015,1,1,0.888888888888889,1,0.8,1,1,1,OLI,3,3,-0.23013698630137,58.8493150684932
oli045_1,01-Dec-2020,OLI,ODR,01-Jan-2016,02-Dec-2020,-1,1796,0.984615384615385,0.888888888888889,1,1,1,1,1,1,1,OLI,3,3,-0.0328767123287671,59.0465753424658
oli046_1,02-Dec-2020,OLI,ODR3,01-Jan-2016,02-Dec-2020,0,1797,0.984615384615385,1,1,1,1,1,0.888888888888889,1,1,OLI,3,3,0,59.0794520547945
