mature,age,ID,age_group,mature_group,delay,sess,rate_1,rate_2,rate_3,sd_1,sd_2,sd_3,cv_1,cv_2,cv_3,rate_adj_1,rate_adj_2,rate_adj_3
-10.29041096,48.7890411,OLI,2,2,3,oli023_1,0.310606061,0.621212121,0.417929293,0.493311913,0.803256774,0.234324678,2.713215521,2.650747355,1.220954903,1.108195519,1.205819283,1.143015422
-5.556164384,53.52328767,OLI,2,3,3,oli025_1,4.253623188,4.695652174,4.560386473,6.619547894,7.484112186,4.480642588,0.685809016,0.794467294,0.443564331,1.941888504,2.003361203,1.98494792
-5.490410959,53.5890411,OLI,2,3,3,oli027_1,10.5625,12.234375,10.046875,8.434563716,12.35439,7.759587572,0.456693805,0.559972351,0.428607829,2.586318015,2.704888998,2.546719336
-5.457534247,53.62191781,OLI,2,3,3,oli028_1,2.634375,2.425,2.30625,0.677735492,0.666666667,0.639320075,2.409726193,2.666666667,2.045824241,1.677593041,1.637691364,1.614332281
-5.326027397,53.75342466,OLI,2,3,1.5,oli029_1,0.7875,0.6375,0.541666667,1.384761095,1.827878344,1.023459015,1.217372391,1.874747019,1.292790334,1.254413557,1.210684777,1.181711396
-5.293150685,53.78630137,OLI,2,3,3,oli030_1,0.5,1.1875,0.583333333,1.885618083,4.787135539,1.713109532,1.257078722,1.343757344,0.978919732,1.168847623,1.362457975,1.194411792
-5.260273973,53.81917808,OLI,2,3,3,oli031_1,0.8515625,1.171875,0.760416667,0.899735411,0.934353184,0.521897062,1.028269041,1.494965095,0.94532298,1.272521989,1.358449473,1.246658228
-5.22739726,53.85205479,OLI,2,3,0,oli032_1,0.759803922,0.549019608,0.58496732,0,0,0,0,0,0,1.246482071,1.183964395,1.194906575
-5.063013699,54.01643836,OLI,2,3,1.5,oli033_1,1.86637931,2.770833333,1.943366858,1.463510601,3.554093267,1.34742503,1.195543871,1.777046633,1.037398032,1.522716197,1.70276707,1.539369181
-5.030136986,54.04931507,OLI,3,3,3,oli034_1,0.652307692,0.596923077,0.581538462,0.640012019,0.829735825,0.473214142,1.980989583,3.370801787,1.398132691,1.215087661,1.198519433,1.193868009
-0.657534247,58.42191781,OLI,3,3,3,oli037_1,4.962890625,5.07421875,4.639973958,0.929562963,0.954833153,0.498426758,2.704183164,2.350358529,1.568818647,2.038772199,2.053161807,1.995822919
-0.624657534,58.45479452,OLI,3,3,3,oli038_1,2.166666667,1.585858586,1.693602694,3.516991722,4.386140495,2.598412641,1.172330574,2.038628681,1.329420421,1.586158742,1.459577446,1.484301927
-0.493150685,58.58630137,OLI,3,3,3,oli039_1,0.375,0.5,0.307291667,0.863731293,1.663985939,0.500440723,1.381970068,1.972131484,1.000881446,1.129232608,1.168847623,1.107100659
-0.460273973,58.61917808,OLI,3,3,1.5,oli040_1,9.705882353,9.751336898,9.882352941,2.939841664,2.648901904,2.22076823,0.602136244,0.804130935,0.547145796,2.519643301,2.523295184,2.533747191
-0.42739726,58.65205479,OLI,3,3,1.5,oli041_1,4.586458333,4.441666667,4.654166667,6.091134794,9.386842947,5.897123738,0.552483882,0.802294269,0.532872627,1.988523475,1.968502788,1.997749876
-0.263013699,58.81643836,OLI,3,3,1.5,oli043_1,4.888392857,4.758928571,4.581845238,2.243155374,2,1.373365631,0.944486473,1.142857143,0.762098847,2.02902611,2.011859781,1.987891754
-0.230136986,58.84931507,OLI,3,3,3,oli044_1,3.042113095,2.346130952,2.411011905,2.566380627,3.075117755,2.050508605,0.678712232,0.894579711,0.464266099,1.751006035,1.622238194,1.634967976
-0.032876712,59.04657534,OLI,3,3,1.5,oli045_1,1.24609375,2.0703125,1.528645833,1.810189414,3.917806318,1.818936982,1.565569223,2.089496703,1.374944491,1.377348359,1.566236909,1.446195818
0,59.07945205,OLI,3,3,3,oli046_1,2.731770833,2.380208333,2.970486111,0.548265664,0.723061173,0.281522379,2.50635732,3.305422506,1.175049931,1.695625271,1.628944449,1.738493694
0.032876712,59.11232877,OLI,3,3,3,oli047_1,3.384375,2.8625,3.764583333,1.315354983,1.697044583,0.690205315,1.169204429,1.206787259,0.774967372,1.808724222,1.719328879,1.869162567
4.602739726,63.68219178,OLI,4,3,3,oli049_1,2.06355266,2.246522226,1.829818361,2.159209544,2.971518807,1.54376381,0.838114231,1.06902201,0.608566135,1.564824257,1.602373831,1.514709605
4.668493151,63.74794521,OLI,4,3,3,oli050_1,2.27734375,2.109375,2.154296875,1.350705283,1.88324905,0.96760525,1.879242133,1.721827703,0.952719016,1.608562645,1.574361221,1.583623305
4.8,63.87945205,OLI,4,3,1.5,oli051_1,4.229758208,3.361413043,2.908884206,0.430945804,0.519740195,0.230126385,2.413296501,3.638181364,3.866123264,1.938459611,1.804954509,1.727605947
