ID,Task,mature,age,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,percorr_class_9,percorr_class_10,percorr_class_11,percorr_class_12,percorr_class_13,percorr_class_14,percorr_class_15,percorr_class_16,percorr_class_17,percorr_class_18,percorr_class_19,percorr_class_20
OLI,ODRdistractor_cardinal,-0.666666667,59.23333333,0.919753086,0.777777778,0.7,0.875,1,1,0.875,0.888888889,1,0.875,0.888888889,1,1,1,1,1,0.7,1,1,1,1
OLI,ODRdistractor_cardinal,-0.633333333,59.26666667,0.715447154,1,0.833333333,1,0.8,1,0.8,1,0.571428571,0.8,1,0.285714286,1,0.363636364,0.8,1,0.454545455,0.8,0.833333333,0.8,0.8
OLI,ODRdistractor_cardinal,-0.5,59.4,0.838323353,0.777777778,0.7,1,0.875,1,1,0.875,0.875,0.875,1,1,1,1,1,0.875,0.777777778,0.318181818,1,1,1
OLI,ODRdistractor_cardinal,-0.466666667,59.43333333,0.916030534,0.857142857,0.857142857,0.857142857,0.857142857,1,1,1,1,1,1,1,1,1,1,1,0.545454545,1,1,0.857142857,0.857142857
OLI,ODRdistractor_cardinal,-0.433333333,59.46666667,0.938967136,1,0.909090909,0.909090909,1,1,1,0.909090909,1,0.833333333,1,1,1,1,1,0.909090909,0.714285714,0.833333333,1,0.909090909,1
OLI,ODRdistractor_diagonal,-0.4,59.5,0.913242009,0.909090909,0.909090909,0.769230769,0.909090909,0.909090909,1,1,1,1,1,1,0.769230769,0.909090909,0.909090909,0.909090909,0.833333333,0.909090909,0.833333333,0.909090909,1
OLI,ODRdistractor_diagonal,-0.266666667,59.63333333,0.911111111,1,0.857142857,0.857142857,0.857142857,1,1,1,0.875,1,1,1,1,0.75,1,1,0.857142857,0.857142857,0.75,0.857142857,0.875
OLI,ODRdistractor_diagonal,-0.233333333,59.66666667,0.942408377,1,0.818181818,0.9,0.9,1,0.9,1,1,1,1,0.9,1,0.75,0.818181818,1,1,1,1,1,1
OLI,ODRdistractor_cardinal,-0.033333333,59.86666667,0.926267281,0.909090909,1,0.833333333,1,0.909090909,0.909090909,0.909090909,0.714285714,1,1,1,0.909090909,1,0.909090909,1,1,1,0.909090909,0.909090909,0.833333333
OLI,ODRdistractor_diagonal,0,59.9,0.986547085,0.846153846,1,1,1,1,1,1,0.916666667,1,1,1,1,1,1,1,1,1,1,1,1
OLI,ODRdistractor_diagonal,0.033333333,59.93333333,0.952879581,0.9,1,0.9,1,1,1,1,1,1,0.9,0.9,1,1,0.818181818,1,1,0.9,1,0.9,0.9
OLI,ODRdistractor_diagonal,4.633333333,64.53333333,0.883977901,0.571428571,0.888888889,0.727272727,1,0.888888889,1,1,1,0.8,1,1,0.8,1,1,1,0.8,1,0.8,0.8,1
OLI,ODRdistractor_cardinal,4.666666667,64.56666667,0.902439024,0.909090909,1,1,1,0.9,0.75,0.818181818,0.833333333,1,1,1,1,1,1,1,0.9,0.818181818,0.5625,0.9,1
OLI,ODRdistractor_cardinal,4.733333333,64.63333333,0.835897436,0.8,0.888888889,1,0.888888889,1,1,0.888888889,1,0.8,0.888888889,1,1,0.888888889,0.888888889,0.9,0.5,0.727272727,0.8,0.533333333,0.888888889
OLI,ODRdistractor_cardinal,4.866666667,64.76666667,0.805882353,0.7,0.636363636,0.875,1,0.7,1,0.7,0.875,1,0.875,1,1,0.875,1,1,0.666666667,0.777777778,0.636363636,0.7,0.6
OLI,ODRdistractor_cardinal,4.9,64.8,0.696517413,0.777777778,0.538461538,0.466666667,0.4375,0.875,0.875,0.875,0.636363636,0.777777778,0.636363636,0.875,0.777777778,0.777777778,1,0.875,0.583333333,1,0.583333333,0.777777778,0.583333333
OLI,ODRdistractor_cardinal,4.933333333,64.83333333,0.830601093,0.7,0.8,1,1,1,1,0.8,0.777777778,1,0.7,1,1,1,1,0.888888889,0.5,0.888888889,0.583333333,0.7,0.777777778
OLI,ODRdistractor_diagonal,4.966666667,64.86666667,0.895604396,0.888888889,0.727272727,1,0.8,1,0.888888889,1,1,0.8,1,1,0.727272727,0.8,1,0.888888889,1,1,0.9,0.888888889,0.8
OLI,ODRdistractor_diagonal,5.1,65,0.786206897,0.6,0.833333333,0.833333333,1,1,1,1,1,1,1,0.857142857,0.75,0.545454545,0.857142857,0.857142857,0.6,0.857142857,0.454545455,0.75,0.714285714
OLI,ODRdistractor_diagonal,5.133333333,65.03333333,0.927835052,0.9,1,1,0.75,0.9,0.9,0.818181818,1,0.9,1,1,0.9,1,0.9,1,1,1,1,0.9,0.818181818
OLI,ODRdistractor_diagonal,5.166666667,65.06666667,0.905,0.9,1,0.9,0.818181818,0.9,0.769230769,1,0.9,0.9,0.75,1,1,0.9,1,1,0.9,1,0.9,0.75,1
OLI,ODRdistractor_cardinal,5.2,65.1,0.935672515,0.727272727,1,1,1,0.888888889,0.888888889,0.8,1,0.8,1,1,1,1,1,1,1,1,1,0.888888889,0.888888889
OLI,ODRdistractor_cardinal,5.333333333,65.23333333,0.829493088,1,1,0.818181818,1,1,0.75,0.818181818,0.6,0.642857143,0.75,0.692307692,0.9,1,1,0.9,0.9,0.75,0.818181818,0.818181818,0.818181818
OLI,ODRdistractor_diagonal,5.366666667,65.26666667,0.875,0.727272727,0.727272727,0.8,1,0.818181818,0.8,0.8,1,1,0.8,0.727272727,1,1,1,0.888888889,0.888888889,0.8,1,1,1
OLI,ODRdistractor_cardinal,5.4,65.3,0.953051643,0.909090909,1,0.909090909,0.846153846,1,1,0.833333333,0.909090909,1,1,1,1,1,1,0.909090909,1,1,1,0.909090909,0.909090909
OLI,ODRdistractor_cardinal,5.433333333,65.33333333,0.967914439,1,1,1,1,0.9,0.9,1,0.9,1,1,1,1,1,1,1,1,1,0.818181818,0.9,1
OLI,ODRdistractor_cardinal,5.566666667,65.46666667,0.840336134,1,0.833333333,0.833333333,0.625,0.714285714,0.714285714,1,0.833333333,0.833333333,0.833333333,1,0.555555556,1,0.833333333,1,1,1,0.833333333,1,0.833333333
