ID,RT,class_weight_1,class_weight_2,class_weight_3,class_weight_4,class_weight_5,class_weight_6,class_weight_7,class_weight_8,RT_1,RT_2,RT_3,RT_4,RT_5,RT_6,RT_7,RT_8,mature,age
OLI,0.335701493,0.119402985,0.134328358,0.119402985,0.134328358,0.119402985,0.119402985,0.134328358,0.119402985,0.34,0.38,0.334,0.281777778,0.316,0.33,0.363111111,0.3385,-5.030136986,54.04931507
OLI,0.343588235,0.117647059,0.117647059,0.147058824,0.147058824,0.132352941,0.117647059,0.102941176,0.117647059,0.3495,0.3585,0.3464,0.3488,0.333777778,0.3315,0.328,0.3495,-0.723287671,58.35616438
OLI,0.332176471,0.132352941,0.117647059,0.132352941,0.102941176,0.147058824,0.117647059,0.117647059,0.132352941,0.336444444,0.3175,0.347111111,0.313142857,0.3348,0.3275,0.321,0.352,-0.690410959,58.3890411
OLI,0.345245902,0.131147541,0.098360656,0.114754098,0.131147541,0.131147541,0.131147541,0.131147541,0.131147541,0.342,0.341333333,0.32,0.352,0.334,0.3435,0.36,0.365,-0.657534247,58.42191781
OLI,0.339944444,0.111111111,0.138888889,0.125,0.111111111,0.111111111,0.166666667,0.111111111,0.125,0.3365,0.3288,0.330222222,0.329,0.3565,0.354666667,0.337,0.343111111,-0.624657534,58.45479452
OLI,0.3329375,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.349,0.3295,0.318,0.325,0.299,0.362,0.354,0.327,-0.493150685,58.58630137
OLI,0.314958904,0.109589041,0.123287671,0.136986301,0.123287671,0.109589041,0.123287671,0.164383562,0.109589041,0.319,0.312,0.3092,0.318666667,0.303,0.331111111,0.304333333,0.327,-0.460273973,58.61917808
OLI,0.309661538,0.123076923,0.123076923,0.123076923,0.123076923,0.123076923,0.123076923,0.138461538,0.123076923,0.314,0.3055,0.302,0.2945,0.3045,0.317,0.328888889,0.3085,-0.42739726,58.65205479
OLI,0.307625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.3135,0.2945,0.2965,0.288,0.2855,0.3135,0.338,0.3315,-0.394520548,58.68493151
OLI,0.319166667,0.111111111,0.125,0.111111111,0.111111111,0.125,0.125,0.180555556,0.111111111,0.3305,0.282666667,0.315,0.2815,0.291111111,0.324,0.368,0.3375,-0.263013699,58.81643836
