ID,session,mature,age,sex,hemi,anterior_cingulate_gyrus_contra,orbital_frontal_cortex_contra,lateral_prefrontal_cortex_contra,motor_cortex_contra,somatosensory_cortex_contra,superior_parietal_lobule_contra,inferior_parietal_lobule_contra,posterior_medial_cortex_contra,medial_temporal_lobe_contra,temporal_pole_contra,inferior_temporal_cortex_contra,superior_temporal_region_contra,core_and_belt_areas_of_auditory_cortex_contra,floor_of_the_lateral_sulcus_contra,middle_temporal_area_contra,extrastriate_visual_areas_2_4_contra,primary_visual_cortex_contra
UNI,5,0.4,45.6,F,R,299.8647,603.7106,818.5663,1040.206,695.0341,458.5115,591.4366,302.3246,129.9803,114.1556,880.4026,399.4852,272.882,152.6138,57.47939,1770.801,1292.907
UNI,6,3.5,48.7,F,R,304.9896,576.7706,788.1523,1031.635,701.7834,455.2611,606.7841,304.781,126.1753,106.3455,887.7302,396.8468,282.723,146.3869,56.11616,1830.598,1339.97
UNI,7,6.7,51.9,F,R,292.8903,585.1802,758.3489,998.6913,676.2734,448.959,576.4269,301.6725,114.4787,115.0035,855.7655,385.8851,261.8972,151.6545,57.21521,1847.61,1334.126
UNI,8,9.7,54.9,F,R,300.6617,580.8937,785.2061,1023.873,695.8132,456.3355,600.9561,310.554,116.9862,113.3682,871.1808,398.6652,267.8949,143.8947,56.3355,1842.882,1346.3
UNI,9,13.7,58.9,F,R,306.1677,603.8848,814.4825,1059.579,709.4877,477.718,619.5436,312.333,131.711,123.2825,905.817,404.6331,281.6567,155.5065,60.80414,1873.129,1347.041
UNI,10,15.9,61.1,F,R,300.9871,576.3436,762.4056,1029.11,690.3453,453.5169,602.6011,304.8095,171.1492,118.9708,885.4806,397.9117,269.9196,144.036,57.07999,1858.777,1350.018
UNI,11,19.2,64.4,F,R,300.0853,566.0652,741.6102,1004.706,683.558,447.3273,576.3431,301.7984,125.6715,105.7286,837.6663,379.9571,265.2496,144.231,55.63175,1814.131,1328.439
VIK,1,-19.7,36.2,M,R,328.7301,700.2995,882.136,1047.893,731.7518,502.3042,655.3968,390.9995,128.4627,131.1546,977.4271,427.0685,304.314,174.7482,61.99706,1942.819,1377.797
VIK,2,-15.7,40.1,M,R,334.9616,692.9837,898.9369,1083.035,737.4394,490.3398,639.8324,371.3924,109.405,90.62251,870.4061,405.9112,298.0236,167.6921,62.047,1962.067,1373.381
VIK,3,-12.2,43.6,M,R,332.9054,660.9523,868.1224,1062.375,736.9841,512.1677,651.1738,390.7607,113.3616,94.59389,881.8613,405.4727,291.1587,173.1376,59.2045,1939.526,1367.28
VIK,4,-9.4,46.5,M,R,341.2166,694.4041,881.3864,1055.454,729.8506,498.591,620.6607,371.5995,126.172,124.0069,959.0525,423.253,293.2081,172.7229,57.1369,1924.3,1364.135
VIK,5,-6.1,49.7,M,R,338.7628,703.0042,885.5909,1063.416,718.4512,490.1293,634.0733,377.2139,133.7617,106.8661,905.2548,403.3441,291.1322,166.8462,57.81247,1894.712,1369.837
VIK,6,-3.1,52.7,M,R,342.2135,681.8149,896.4554,1085.475,742.8415,508.8946,646.8106,374.6233,159.5773,119.853,937.8159,415.4711,302.0691,165.0661,60.72627,1960.611,1377.135
VIK,7,0.1,56,M,R,342.3625,663.7494,872.1705,1079.216,744.9308,499.4907,654.9788,381.3005,132.1008,127.865,941.3066,425.5107,298.7892,168.562,65.37756,1986.596,1417.066
VIK,8,3.1,59,M,R,334.0975,668.8084,851.0621,1054.526,718.4196,489.4669,621.4135,373.9835,129.1077,124.9437,946.1596,422.1295,294.5903,168.6205,60.61633,1953.078,1388.977
VIK,9,7.2,63,M,R,332.521,680.7495,873.491,1090.364,742.8536,509.9945,649.7075,380.5637,128.7332,131.2383,960.3092,429.0008,307.7615,160.1311,62.17157,1991.894,1392.739
VIK,10,9.3,65.2,M,R,342.4966,717.6811,883.2803,1104.259,746.7776,513.3397,663.8668,394.0662,132.4277,137.8329,969.4389,430.5751,300.2404,167.9479,61.56243,1975.322,1405.112
VIK,11,12.7,68.5,M,R,329.928,609.2386,805.9758,1039.007,737.5335,488.0961,646.243,376.5596,140.6435,122.2661,938.3822,408.65,288.0102,159.1134,58.91261,1934.702,1392.722
