Task,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,ID,mature,age
ODR3,0.916666667,1,0.8,0.888888889,1,1,0.75,1,1,OLI,-0.624657534,58.45479452
ODR3,1,1,1,1,1,1,1,1,1,OLI,-0.493150685,58.58630137
ODR,0.931506849,1,0.888888889,0.9,1,1,1,0.75,1,OLI,-0.460273973,58.61917808
ODR,0.984615385,1,1,1,1,1,1,0.888888889,1,OLI,-0.42739726,58.65205479
ODR3,1,1,1,1,1,1,1,1,1,OLI,-0.394520548,58.68493151
ODR,0.901408451,1,1,1,1,0.888888889,0.888888889,0.615384615,1,OLI,-0.263013699,58.81643836
ODR3,0.955223881,1,1,0.888888889,1,0.8,1,1,1,OLI,-0.230136986,58.84931507
ODR,0.984615385,0.888888889,1,1,1,1,1,1,1,OLI,-0.032876712,59.04657534
ODR3,0.984615385,1,1,1,1,1,0.888888889,1,1,OLI,0,59.07945205
ODR3,0.984615385,1,1,1,1,1,0.888888889,1,1,OLI,0.032876712,59.11232877
ODR,0.841463415,1,0.888888889,0.9,0.9,0.9,0.571428571,0.9,0.8,OLI,4.569863014,63.64931507
ODR3,0.96969697,1,1,1,1,1,1,0.888888889,0.888888889,OLI,4.602739726,63.68219178
ODR3,0.831168831,1,1,1,0.8,1,0.615384615,0.615384615,0.888888889,OLI,4.668493151,63.74794521
ODR,0.888888889,1,0.875,1,0.875,1,0.875,0.636363636,1,OLI,4.8,63.87945205
ODR3,0.984615385,1,1,0.888888889,1,1,1,1,1,OLI,4.832876712,63.91232877
ODR3,1,1,1,1,1,1,1,1,1,OLI,4.865753425,63.94520548
ODR3,0.970149254,1,1,1,1,1,1,0.8,1,OLI,4.898630137,63.97808219
ODR,0.901408451,1,1,0.8,0.888888889,0.8,0.888888889,0.888888889,1,OLI,5.030136986,64.10958904
ODR3,0.914285714,1,0.888888889,0.727272727,0.888888889,1,0.888888889,1,1,OLI,5.063013699,64.14246575
ODR3,0.927536232,1,0.888888889,0.727272727,1,1,1,0.888888889,1,OLI,5.095890411,64.17534247
ODR3,0.927536232,1,1,0.666666667,1,0.888888889,1,1,1,OLI,5.128767123,64.20821918
ODR,0.82278481,0.888888889,0.888888889,1,0.9,0.888888889,0.888888889,0.571428571,0.727272727,OLI,5.260273973,64.33972603
ODR3,0.984848485,1,0.888888889,1,1,1,1,1,1,OLI,5.293150685,64.37260274
ODR3,1,1,1,1,1,1,1,1,1,OLI,5.326027397,64.40547945
ODR3,0.98630137,1,1,0.9,1,1,1,1,1,OLI,5.35890411,64.43835616
ODR,0.655737705,0.714285714,0.833333333,0.357142857,0.714285714,1,0.833333333,0.555555556,0.714285714,OLI,5.490410959,64.56986301
ODR3,0.98245614,1,0.875,1,1,1,1,1,1,OLI,5.523287671,64.60273973
ODR3,0.927272727,0.857142857,1,0.875,1,1,1,0.75,1,OLI,5.556164384,64.63561644
ODR3,1,1,1,1,1,1,1,1,1,OLI,5.589041096,64.66849315
ODR,0.534653465,0.7,0.388888889,0.428571429,0.875,0.7,1,0.304347826,0.545454545,OLI,9.863013699,68.94246575
ODR3,0.617977528,0.7,0.875,1,1,1,0.7,0.35,0.3,OLI,9.895890411,68.97534247
ODR,0.503937008,0.615384615,0.727272727,0.666666667,0.888888889,0.727272727,0.8,0.205128205,0.363636364,OLI,10.09315068,69.17260274
ODR3,0.895833333,0.714285714,1,1,0.833333333,1,0.75,1,1,OLI,10.1260274,69.20547945
