Task,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,ID,mature,age
ODR3,0.876712329,0.888888889,1,1,0.533333333,0.888888889,1,1,1,ROS,-2.531506849,63.51780822
ODR,0.955223881,1,1,0.888888889,0.888888889,1,1,1,0.888888889,ROS,1.052054795,67.10136986
ODR3,0.893333333,1,1,0.9,0.727272727,1,0.888888889,0.75,1,ROS,1.084931507,67.13424658
ODR3,0.951807229,0.909090909,1,1,1,1,0.909090909,0.833333333,1,ROS,1.117808219,67.16712329
ODR3,0.853333333,1,1,1,0.615384615,1,0.727272727,0.727272727,1,ROS,1.150684932,67.2
ODR,0.93442623,1,0.875,1,0.875,1,0.875,1,0.875,ROS,1.282191781,67.33150685
ODR3,0.942857143,1,0.888888889,0.888888889,0.888888889,1,1,1,0.888888889,ROS,1.315068493,67.36438356
ODR3,0.853658537,0.9,0.9,1,0.5,1,1,1,0.888888889,ROS,1.347945205,67.39726027
ODR3,0.813559322,0.857142857,1,0.75,0.461538462,1,1,1,0.857142857,ROS,1.380821918,67.43013699
ODR,0.914285714,0.888888889,1,1,0.727272727,1,1,0.8,1,ROS,1.512328767,67.56164384
ODR3,0.843137255,0.714285714,1,1,0.545454545,1,0.857142857,1,1,ROS,1.545205479,67.59452055
ODR,0.716049383,1,0.5,1,0.777777778,0.875,0.368421053,1,0.888888889,SON,-13.11780822,41.5890411
ODR,0.804878049,0.818181818,1,0.888888889,0.888888889,0.666666667,0.642857143,1,0.727272727,SON,-13.08493151,41.62191781
ODR,0.872727273,0.75,0.666666667,1,1,0.857142857,1,0.857142857,1,SON,-13.05205479,41.65479452
ODR,0.914634146,1,1,1,1,0.769230769,0.818181818,0.9,0.909090909,SON,-12.88767123,41.81917808
ODR,0.930232558,0.909090909,1,1,1,1,0.769230769,0.833333333,1,SON,-12.85479452,41.85205479
ODR,0.941176471,0.888888889,1,1,1,0.8,0.888888889,1,1,SON,-12.82191781,41.88493151
ODR,0.765957447,0.9,0.9,0.75,1,0.9,0.45,0.818181818,0.75,SON,-12.62465753,42.08219178
ODR,0.866666667,1,0.9,1,0.8,1,0.615384615,0.888888889,0.888888889,SON,-12.59178082,42.11506849
ODR,0.888888889,0.888888889,1,0.8,1,1,0.666666667,0.888888889,1,SON,-12.46027397,42.24657534
ODR,0.738636364,1,0.727272727,0.8,0.888888889,0.5625,0.470588235,0.888888889,1,SON,-12.42739726,42.27945205
ODR,0.935064935,0.9,1,0.9,1,1,0.75,1,1,SON,-12.39452055,42.31232877
ODR,0.890410959,0.888888889,1,0.8,1,0.888888889,0.666666667,1,1,SON,-12.36164384,42.34520548
ODR,0.842105263,1,1,1,1,0.888888889,0.444444444,0.888888889,1,SON,-12,42.70684932
ODR,0.810126582,0.888888889,1,0.888888889,0.888888889,0.888888889,0.5,1,0.727272727,SON,-11.96712329,42.73972603
ODR,0.688172043,1,1,1,1,0.888888889,0.228571429,0.888888889,1,SON,-11.93424658,42.77260274
ODR,0.780487805,1,1,1,1,0.888888889,0.347826087,0.888888889,0.888888889,SON,-11.76986301,42.9369863
ODR,0.87012987,0.888888889,1,1,0.818181818,1,0.533333333,1,1,SON,-11.7369863,42.96986301
ODR,0.78313253,1,1,1,1,0.818181818,0.347826087,1,0.888888889,SON,-11.70410959,43.00273973
ODR,0.757894737,1,0.9,1,0.818181818,0.5,0.473684211,1,0.9,SON,-10.84931507,43.85753425
ODR,0.650943396,0.727272727,0.571428571,0.818181818,0.75,0.8,0.346153846,0.818181818,0.818181818,SON,-10.81643836,43.89041096
ODR,0.747126437,1,1,0.888888889,0.888888889,0.888888889,0.296296296,1,1,SON,-10.78356164,43.92328767
ODR,0.463768116,0.421052632,0.666666667,1,1,0.8,0.173913043,0.615384615,0.363636364,SON,-10.75068493,43.95616438
ODR,0.78313253,1,0.615384615,0.8,1,0.888888889,0.470588235,0.888888889,1,SON,-10.61917808,44.08767123
ODR,0.48,0.545454545,0.352941176,0.857142857,1,1,0.171428571,1,0.5,SON,-10.58630137,44.12054795
ODR,0.455172414,0.666666667,0.5625,0.8,0.9,1,0.145454545,0.888888889,0.32,SON,-10.55342466,44.15342466
ODR,0.565217391,0.571428571,0.888888889,0.818181818,0.888888889,0.444444444,0.5,0.32,0.615384615,SON,-10.32328767,44.38356164
ODR,0.470588235,0.461538462,0.5,0.857142857,1,0.666666667,0.193548387,0.333333333,1,SON,-10.32328767,44.38356164
ODR,0.488549618,0.888888889,0.363636364,0.8,0.8,0.888888889,0.32,0.235294118,0.666666667,SON,-10.29041096,44.41643836
ODR,0.479166667,1,0.409090909,0.818181818,0.818181818,0.9,0.321428571,0.195121951,0.615384615,SON,-10.15890411,44.54794521
ODR,0.44,0.375,0.275862069,1,0.888888889,0.9,0.4,0.228571429,0.533333333,SON,-10.1260274,44.58082192
ODR,0.328205128,0.333333333,0.285714286,0.571428571,0.8,0.8,0.222222222,0.347826087,0.16,SON,-10.09315068,44.61369863
ODR,0.445255474,1,0.368421053,0.615384615,0.368421053,0.727272727,0.291666667,0.4,0.347826087,SON,-10.06027397,44.64657534
ODR,0.503937008,1,1,1,1,0.727272727,0.347826087,0.170212766,0.571428571,SON,-8.416438356,46.29041096
ODR,0.453900709,1,1,1,0.888888889,0.727272727,0.266666667,0.153846154,0.533333333,SON,-8.383561644,46.32328767
ODR,0.607476636,0.692307692,1,1,0.888888889,0.888888889,0.615384615,0.32,0.363636364,SON,-8.350684932,46.35616438
ODR,0.481203008,0.888888889,1,1,0.888888889,0.571428571,0.307692308,0.222222222,0.347826087,SON,-8.317808219,46.3890411
ODR,0.429530201,0.8,0.888888889,1,0.615384615,0.307692308,0.4,0.228571429,0.285714286,SON,-8.284931507,46.42191781
ODR,0.701149425,0.666666667,0.727272727,0.8,0.875,0.888888889,0.583333333,0.7,0.533333333,SON,-3.254794521,51.45205479
ODR,0.603773585,1,1,1,1,0.444444444,0.25,0.8,0.571428571,SON,-3.221917808,51.48493151
ODR,0.621359223,1,1,1,1,0.533333333,0.296296296,0.5,0.615384615,SON,-3.189041096,51.51780822
ODR,0.536,1,1,1,1,0.818181818,0.25,0.228571429,0.615384615,SON,-3.156164384,51.55068493
ODR,0.520325203,1,1,1,1,0.8,0.228571429,0.285714286,0.444444444,SON,-2.991780822,51.71506849
ODR,0.659793814,1,1,1,0.888888889,0.444444444,0.4,0.533333333,0.727272727,SON,-2.95890411,51.74794521
ODR,0.587155963,0.8,1,1,0.8,0.32,0.444444444,0.421052632,0.727272727,SON,-2.926027397,51.78082192
ODR,0.695652174,1,0.888888889,1,1,0.571428571,0.727272727,0.380952381,0.615384615,SON,-2.794520548,51.91232877
ODR,0.704081633,0.727272727,1,1,0.9,0.727272727,0.75,0.380952381,0.6,SON,-2.761643836,51.94520548
ODR,0.421052632,0.571428571,1,1,1,0.13559322,0.275862069,0.533333333,0.727272727,SON,-2.728767123,51.97808219
ODR,0.793650794,0.75,0.857142857,1,1,0.75,0.666666667,0.75,0.7,SON,-2.695890411,52.0109589
ODR,0.677083333,1,1,1,0.888888889,0.347826087,0.421052632,1,0.666666667,SON,2.071232877,56.77808219
ODR,0.731958763,1,0.9,0.9,0.818181818,0.5,0.692307692,0.6,0.692307692,SON,2.104109589,56.8109589
ODR,0.752808989,1,1,1,0.888888889,0.6,0.571428571,0.533333333,0.8,SON,2.136986301,56.84383562
ODR,0.561403509,0.888888889,1,1,1,0.2,0.5,0.615384615,0.666666667,SON,2.268493151,56.97534247
ODR,0.810126582,1,1,1,1,0.533333333,0.8,0.615384615,0.888888889,SON,2.301369863,57.00821918
ODR,0.61627907,0.545454545,0.777777778,1,1,1,0.75,0.291666667,0.5,SON,2.334246575,57.04109589
ODR,0.866666667,1,1,1,1,1,0.727272727,0.533333333,1,SON,2.498630137,57.20547945
ODR,0.741935484,0.9,0.9,1,1,0.818181818,0.363636364,0.75,0.727272727,SON,2.531506849,57.23835616
ODR,0.711111111,1,1,1,1,0.615384615,0.615384615,0.444444444,0.571428571,SON,2.564383562,57.27123288
ODR,0.679245283,1,1,1,1,0.75,0.409090909,0.36,0.818181818,SON,2.597260274,57.30410959
ODR,0.785714286,0.9,0.888888889,1,1,0.8,0.533333333,0.666666667,0.75,SON,2.728767123,57.43561644
ODR,0.75,1,1,1,1,0.818181818,0.470588235,0.533333333,0.666666667,SON,2.761643836,57.46849315
ODR,0.771084337,1,1,1,1,0.727272727,0.444444444,0.8,0.666666667,SON,2.794520548,57.50136986
ODR,0.554621849,1,1,1,1,0.347826087,0.186046512,0.888888889,0.8,SON,2.82739726,57.53424658
ODR,0.659793814,0.8,0.888888889,1,1,0.347826087,0.470588235,0.571428571,1,SON,2.95890411,57.66575342
ODR,0.666666667,0.8,1,1,0.888888889,0.444444444,0.666666667,0.380952381,0.8,SON,2.991780822,57.69863014
ODR,0.771084337,0.888888889,1,1,1,0.615384615,0.8,0.444444444,0.888888889,SON,3.189041096,57.89589041
ODR,0.768292683,0.888888889,0.888888889,1,1,0.666666667,0.4375,0.8,0.8,SON,3.221917808,57.92876712
ODR,0.791666667,1,1,1,0.875,0.466666667,1,0.7,0.7,SON,3.254794521,57.96164384
ODR,0.790123457,0.727272727,0.666666667,0.888888889,1,0.666666667,0.727272727,0.8,1,SON,6.871232877,61.57808219
ODR,0.706896552,1,1,1,0.857142857,0.833333333,0.3125,0.625,0.833333333,SON,6.904109589,61.6109589
ODR,0.780487805,1,1,1,1,0.615384615,0.4,1,0.888888889,SON,6.936986301,61.64383562
ODR,0.516129032,1,1,1,1,0.571428571,0.186046512,0.363636364,0.615384615,SON,7.134246575,61.84109589
ODR,0.688172043,1,1,1,1,0.666666667,0.421052632,0.380952381,0.888888889,SON,7.2,61.90684932
ODR,0.738461538,1,0.857142857,1,1,1,0.315789474,0.857142857,0.75,SON,7.331506849,62.03835616
ODR,0.888888889,1,1,1,1,0.888888889,0.615384615,0.8,1,SON,7.364383562,62.07123288
ODR,0.598214286,0.8,1,1,1,0.347826087,0.363636364,0.4,0.818181818,SON,7.397260274,62.10410959
ODR,0.744186047,0.8,1,1,1,0.666666667,0.444444444,0.8,0.666666667,SON,7.430136986,62.1369863
ODR,0.63559322,1,1,1,1,0.75,0.5,0.27027027,0.692307692,SON,7.561643836,62.26849315
ODR,0.695652174,0.8,1,1,0.888888889,0.888888889,0.333333333,0.8,0.571428571,SON,7.594520548,62.30136986
ODR,0.779069767,0.888888889,1,1,1,0.5,0.666666667,1,0.6,SON,7.62739726,62.33424658
ODR,0.653061224,0.533333333,0.888888889,1,1,0.727272727,0.615384615,0.4,0.571428571,SON,7.791780822,62.49863014
ODR,0.790123457,0.8,1,1,1,0.444444444,0.8,0.888888889,0.8,SON,7.857534247,62.56438356
ODR,0.603773585,0.888888889,1,1,0.888888889,0.444444444,0.421052632,0.347826087,0.666666667,SON,7.890410959,62.59726027
ODR,0.810126582,0.470588235,0.727272727,1,1,1,1,1,0.727272727,TRI,-10.22465753,39.58356164
ODR,0.910447761,0.7,0.888888889,0.875,1,0.888888889,1,1,1,TRI,-10.22465753,39.58356164
ODR,0.810126582,0.888888889,0.571428571,0.571428571,1,1,1,1,0.8,TRI,-10.15890411,39.64931507
ODR,0.876712329,0.615384615,0.888888889,0.8,1,1,1,1,0.888888889,TRI,-10.1260274,39.68219178
ODR,0.853333333,0.727272727,0.615384615,1,0.8,1,1,0.888888889,1,TRI,-9.994520548,39.81369863
ODR,0.790123457,0.8,0.888888889,0.615384615,0.571428571,0.888888889,0.888888889,1,0.888888889,TRI,-9.961643836,39.84657534
ODR,0.719101124,0.533333333,0.444444444,1,0.727272727,1,0.888888889,1,0.666666667,TRI,-9.928767123,39.87945205
ODR,0.566371681,0.444444444,0.258064516,0.4,0.888888889,1,1,0.888888889,0.8,TRI,-9.895890411,39.91232877
ODR,0.75,0.75,0.428571429,0.857142857,1,1,1,0.857142857,0.6,TRI,-9.764383562,40.04383562
ODR,0.524590164,0.347826087,0.2,0.615384615,0.571428571,1,1,1,1,TRI,-9.731506849,40.07671233
ODR,0.417721519,0.347826087,0.204545455,0.666666667,0.888888889,1,1,0.615384615,0.2,TRI,-9.698630137,40.10958904
ODR,0.77027027,0.538461538,0.888888889,0.875,1,1,1,1,0.4375,TRI,-9.402739726,40.40547945
ODR,0.673684211,0.571428571,1,0.727272727,1,1,0.888888889,1,0.275862069,TRI,-9.336986301,40.47123288
ODR,0.888888889,0.833333333,0.769230769,1,1,1,1,0.909090909,0.714285714,TRI,-8.219178082,41.5890411
ODR,0.91954023,0.833333333,1,1,1,1,1,0.833333333,0.769230769,TRI,-8.18630137,41.62191781
ODR,0.716049383,0.571428571,0.888888889,0.636363636,1,1,1,0.777777778,0.411764706,TRI,-8.021917808,41.78630137
ODR,0.776699029,0.714285714,0.909090909,0.714285714,1,1,1,0.909090909,0.434782609,TRI,-7.989041096,41.81917808
ODR,0.519607843,0.175,1,1,1,1,1,0.857142857,0.318181818,TRI,-7.528767123,42.27945205
ODR,0.495575221,0.583333333,0.875,0.875,1,1,1,0.7,0.12962963,TRI,-7.495890411,42.31232877
ODR,0.344827586,0.5,0.555555556,1,1,1,1,0.555555556,0.073529412,TRI,-7.463013699,42.34520548
ODR,0.588235294,0.3125,0.454545455,0.833333333,1,1,1,0.454545455,0.555555556,TRI,-7.068493151,42.73972603
ODR,0.901234568,0.818181818,0.75,1,1,1,1,1,0.75,TRI,-7.035616438,42.77260274
ODR,0.747126437,0.727272727,0.9,1,0.888888889,1,1,0.888888889,0.333333333,TRI,-7.002739726,42.80547945
ODR,0.677083333,0.296296296,0.615384615,0.9,1,1,1,0.888888889,0.615384615,TRI,-6.871232877,42.9369863
ODR,0.361538462,0.127659574,0.461538462,0.5,1,1,1,0.857142857,0.151515152,TRI,-6.838356164,42.96986301
ODR,0.550847458,0.173913043,0.533333333,0.8,1,1,1,1,0.571428571,TRI,-6.805479452,43.00273973
ODR,0.727272727,0.470588235,0.615384615,0.888888889,1,1,0.8,1,0.533333333,TRI,-6.77260274,43.03561644
ODR,0.457142857,0.109090909,0.666666667,0.857142857,1,1,1,1,0.6,TRI,-6.64109589,43.16712329
ODR,0.470588235,0.107142857,0.857142857,0.75,1,1,1,1,0.857142857,TRI,-6.608219178,43.2
ODR,0.666666667,0.222222222,0.8,1,1,1,1,1,0.8,TRI,-6.575342466,43.23287671
ODR,0.866666667,0.470588235,0.888888889,1,1,1,1,1,1,TRI,-6.542465753,43.26575342
ODR,0.696969697,0.571428571,0.642857143,0.642857143,0.615384615,1,1,1,0.5,TRI,0.263013699,50.07123288
ODR,0.738636364,0.421052632,0.8,0.615384615,0.8,1,1,1,0.727272727,TRI,0.295890411,50.10410959
ODR,0.752941176,0.727272727,0.8,0.5,0.571428571,1,0.8,1,1,TRI,0.328767123,50.1369863
ODR,0.633663366,0.888888889,0.8,0.363636364,0.470588235,1,1,1,0.421052632,TRI,0.361643836,50.16986301
ODR,0.683673469,0.642857143,0.666666667,0.571428571,0.5,1,1,1,0.529411765,TRI,0.493150685,50.30136986
ODR,0.730337079,0.307692308,1,0.888888889,0.727272727,0.8,1,1,1,TRI,0.526027397,50.33424658
ODR,0.747126437,0.571428571,1,0.888888889,0.727272727,0.9,1,1,0.421052632,TRI,0.55890411,50.36712329
ODR,0.719101124,0.470588235,0.571428571,0.888888889,1,0.8,1,1,0.533333333,TRI,0.723287671,50.53150685
ODR,0.688172043,0.571428571,1,0.727272727,0.888888889,0.307692308,1,1,0.888888889,TRI,0.756164384,50.56438356
ODR,0.876712329,0.888888889,1,0.727272727,0.888888889,1,0.8,1,0.8,TRI,0.789041096,50.59726027
ODR,0.653061224,0.8,0.615384615,0.5,0.8,0.888888889,0.8,1,0.363636364,TRI,0.821917808,50.63013699
ODR,0.673267327,0.333333333,1,0.666666667,0.8,0.9,0.727272727,1,0.5625,TRI,0.953424658,50.76164384
ODR,0.735632184,0.727272727,0.888888889,1,0.444444444,0.666666667,0.727272727,1,0.8,TRI,0.98630137,50.79452055
ODR,0.52892562,0.727272727,0.888888889,0.571428571,0.205128205,0.380952381,0.8,1,0.888888889,TRI,1.019178082,50.82739726
ODR,0.764705882,0.727272727,0.888888889,0.666666667,0.692307692,0.571428571,0.888888889,1,0.888888889,TRI,1.052054795,50.86027397
ODR,0.813559322,0.6,0.75,0.75,0.75,1,1,1,0.857142857,TRI,1.183561644,50.99178082
ODR,0.71641791,0.352941176,0.6,1,0.857142857,0.857142857,0.857142857,1,0.857142857,TRI,1.216438356,51.02465753
ODR,0.902777778,0.888888889,0.727272727,0.888888889,1,0.888888889,1,1,0.888888889,TRI,1.249315068,51.05753425
ODR,0.868421053,0.888888889,1,1,1,0.75,0.8,0.8,0.8,TRI,1.282191781,51.09041096
ODR,0.755813953,0.615384615,1,0.888888889,0.9,0.444444444,0.8,1,0.8,TRI,1.41369863,51.22191781
ODR,0.744186047,1,0.888888889,0.888888889,1,0.363636364,0.888888889,0.888888889,0.666666667,TRI,1.446575342,51.25479452
ODR,0.512,1,0.888888889,0.666666667,0.888888889,0.5,0.16,1,0.615384615,TRI,1.479452055,51.28767123
ODR,0.672413793,1,0.714285714,1,0.714285714,0.555555556,0.357142857,1,0.714285714,TRI,1.512328767,51.32054795
ODR,0.666666667,0.833333333,0.714285714,0.833333333,0.714285714,0.75,0.4,1,0.555555556,TRI,5.78630137,55.59452055
ODR,0.857142857,0.857142857,0.857142857,1,0.857142857,1,0.6,1,0.857142857,TRI,5.819178082,55.62739726
ODR,0.842105263,1,1,0.615384615,1,1,1,0.8,0.615384615,TRI,5.852054795,55.66027397
ODR,0.666666667,0.428571429,0.857142857,0.6,1,1,0.4,1,0.75,TRI,6.016438356,55.82465753
ODR,0.927536232,0.8,1,1,1,1,0.727272727,1,1,TRI,6.049315068,55.85753425
ODR,0.817073171,0.5,1,1,1,1,1,1,0.5625,TRI,6.082191781,55.89041096
ODR,0.771084337,0.444444444,0.888888889,0.8,1,1,0.888888889,1,0.615384615,TRI,6.246575342,56.05479452
ODR,0.761904762,0.4,1,1,1,1,1,1,0.5,TRI,6.279452055,56.08767123
ODR,0.820512821,0.615384615,1,0.615384615,1,1,1,1,0.666666667,TRI,6.312328767,56.12054795
ODR,0.71641791,0.315789474,0.857142857,0.857142857,0.857142857,1,1,1,0.666666667,TRI,6.345205479,56.15342466
ODR,0.688172043,0.266666667,0.888888889,0.615384615,1,0.888888889,1,1,1,TRI,6.476712329,56.28493151
ODR,0.864864865,0.571428571,1,0.888888889,1,0.888888889,1,1,0.8,TRI,6.509589041,56.31780822
ODR,0.727272727,0.32,0.727272727,0.727272727,1,1,1,1,0.888888889,TRI,6.542465753,56.35068493
ODR,0.736263736,0.4,0.888888889,1,0.818181818,0.615384615,1,1,0.692307692,TRI,6.575342466,56.38356164
ODR,0.767123288,0.538461538,0.466666667,1,1,1,0.777777778,1,0.875,TRI,11.07945205,60.88767123
ODR,0.735632184,0.533333333,0.5,0.8,0.8,0.727272727,0.888888889,1,1,TRI,11.11232877,60.92054795
ODR,0.571428571,0.210526316,0.727272727,0.571428571,1,0.727272727,0.571428571,1,1,TRI,11.30958904,61.11780822
ODR,0.891891892,0.692307692,0.727272727,1,0.888888889,1,1,1,1,TRI,11.34246575,61.15068493
ODR,0.790123457,0.533333333,0.888888889,0.888888889,0.888888889,0.888888889,0.727272727,0.888888889,0.8,TRI,11.37534247,61.18356164
ODR,0.864197531,0.888888889,1,0.9,1,1,0.9,1,0.5,TRI,11.40821918,61.21643836
ODR,0.520325203,0.216216216,0.888888889,0.666666667,0.615384615,0.4,0.5,1,1,TRI,11.53972603,61.34794521
ODR,0.625,0.363636364,0.727272727,0.571428571,0.9,0.888888889,0.380952381,1,0.888888889,TRI,11.57260274,61.38082192
ODR,0.573913043,0.296296296,0.75,0.888888889,1,0.8,0.25,1,1,TRI,11.60547945,61.41369863
ODR,0.831168831,0.470588235,1,0.888888889,1,1,0.8,1,0.888888889,TRI,11.63835616,61.44657534
ODR,0.923076923,0.666666667,0.857142857,1,1,1,1,1,1,TRI,11.80273973,61.6109589
ODR,0.780487805,0.347826087,0.8,1,1,1,0.888888889,1,1,TRI,11.83561644,61.64383562
ODR,0.727272727,0.296296296,1,1,1,1,0.615384615,1,1,TRI,11.86849315,61.67671233
ODR,0.666666667,0.222222222,1,1,1,1,0.642857143,1,1,TRI,12,61.80821918
ODR,0.690721649,0.275862069,0.470588235,1,1,1,1,1,1,TRI,12.03287671,61.84109589
ODR,0.711111111,0.571428571,0.32,1,1,1,1,1,0.727272727,TRI,12.06575342,61.8739726
ODR,0.64,0.615384615,0.4,0.666666667,1,1,0.470588235,0.888888889,0.615384615,TRI,12.09863014,61.90684932
ODR3,0.901408451,1,0.888888889,0.8,0.8,1,1,0.888888889,0.888888889,UNI,-5.917808219,38.6630137
ODR3,0.901408451,0.888888889,0.8,0.727272727,1,1,1,0.888888889,1,UNI,-5.884931507,38.69589041
ODR3,0.864864865,0.888888889,1,0.5,1,1,1,1,0.888888889,UNI,-5.852054795,38.72876712
ODR3,0.839506173,0.888888889,0.818181818,0.692307692,0.9,0.818181818,1,0.8,0.888888889,UNI,-5.720547945,38.86027397
ODR,0.869565217,1,0.909090909,0.769230769,1,0.714285714,0.833333333,0.833333333,1,UNI,-5.687671233,38.89315068
ODR3,0.82278481,0.8,0.692307692,1,1,0.8,1,0.8,0.666666667,UNI,-5.654794521,38.9260274
ODR3,0.825396825,0.857142857,0.545454545,1,1,0.857142857,0.75,0.875,0.875,UNI,-5.621917808,38.95890411
ODR3,0.8125,1,0.571428571,0.625,1,1,1,0.714285714,0.833333333,UNI,-5.457534247,39.12328767
ODR,0.879120879,1,0.909090909,0.666666667,0.909090909,1,1,0.909090909,0.769230769,UNI,-5.424657534,39.15616438
ODR3,0.91954023,1,1,0.833333333,0.769230769,1,0.833333333,1,1,UNI,-5.391780822,39.1890411
ODR3,1,1,1,1,1,1,1,1,1,UNI,-5.260273973,39.32054795
ODR3,0.857142857,0.9,0.8,0.727272727,1,0.727272727,1,0.818181818,1,UNI,-5.22739726,39.35342466
ODR,0.876712329,0.888888889,0.8,0.888888889,0.888888889,1,0.888888889,0.727272727,1,UNI,-5.194520548,39.38630137
ODR3,0.947368421,0.875,0.875,1,1,1,1,1,0.875,UNI,-5.161643836,39.41917808
ODR,0.869565217,0.769230769,0.909090909,0.833333333,0.909090909,0.769230769,0.909090909,1,0.909090909,UNI,-5.063013699,39.51780822
ODR3,0.96969697,1,1,1,1,0.888888889,1,1,0.888888889,UNI,-4.997260274,39.58356164
ODR3,0.901408451,0.888888889,1,0.615384615,1,1,1,1,0.888888889,UNI,-4.964383562,39.61643836
ODR,0.930232558,1,0.714285714,0.909090909,1,1,1,0.909090909,1,UNI,-4.8,39.78082192
ODR3,0.823529412,1,0.5,0.7,1,1,1,1,0.777777778,UNI,-4.767123288,39.81369863
ODR3,0.901408451,0.8,1,0.727272727,1,0.888888889,0.888888889,1,1,UNI,-4.734246575,39.84657534
ODR3,0.907407407,1,0.857142857,0.6,1,1,1,1,1,UNI,-4.701369863,39.87945205
ODR,0.833333333,1,0.833333333,0.526315789,0.909090909,0.909090909,0.909090909,0.909090909,0.909090909,UNI,-4.569863014,40.0109589
ODR3,0.876712329,0.888888889,1,0.666666667,0.8,1,0.888888889,0.888888889,1,UNI,-4.536986301,40.04383562
ODR3,0.833333333,0.909090909,0.833333333,0.555555556,0.909090909,1,1,0.833333333,0.833333333,UNI,-4.471232877,40.10958904
ODR,0.822222222,1,0.5,0.833333333,1,1,1,0.8,0.666666667,UNI,-0.394520548,44.18630137
ODR3,0.790123457,0.727272727,0.8,0.8,0.8,1,1,0.8,0.571428571,UNI,-0.361643836,44.21917808
ODR,0.852459016,0.857142857,0.875,0.6,1,1,0.875,1,0.777777778,UNI,-0.197260274,44.38356164
ODR3,0.744186047,1,0.727272727,0.380952381,0.888888889,1,0.888888889,0.727272727,0.888888889,UNI,-0.164383562,44.41643836
ODR3,0.842105263,1,1,0.615384615,0.888888889,1,0.8,0.727272727,0.888888889,UNI,-0.131506849,44.44931507
ODR3,0.855263158,0.888888889,0.8,0.5,1,1,1,1,1,UNI,-0.098630137,44.48219178
ODR,0.901408451,0.888888889,0.727272727,0.8,1,1,1,1,0.888888889,UNI,0.263013699,44.84383562
ODR3,0.888888889,0.8,1,0.727272727,1,1,0.8,1,0.888888889,UNI,0.295890411,44.87671233
ODR3,0.876712329,0.888888889,0.8,0.666666667,1,0.888888889,0.888888889,1,1,UNI,0.328767123,44.90958904
ODR3,0.927536232,0.8,1,0.727272727,1,1,1,1,1,UNI,0.361643836,44.94246575
ODR,0.719101124,0.666666667,0.444444444,0.666666667,1,1,0.8,0.727272727,0.8,UNI,0.493150685,45.0739726
ODR3,0.864864865,0.888888889,1,0.571428571,0.888888889,1,0.8,1,1,UNI,0.526027397,45.10684932
ODR3,0.842105263,0.888888889,0.615384615,0.8,1,0.888888889,1,0.8,0.888888889,UNI,0.55890411,45.13972603
ODR3,0.869565217,1,0.714285714,0.555555556,1,1,1,1,1,UNI,0.591780822,45.17260274
ODR,0.8,0.888888889,0.888888889,0.727272727,0.615384615,0.666666667,0.888888889,1,0.888888889,UNI,4.865753425,49.44657534
ODR3,0.76119403,0.666666667,0.666666667,0.6,0.857142857,0.777777778,1,0.875,0.777777778,UNI,4.898630137,49.47945205
ODR3,0.96969697,1,1,1,1,1,1,1,0.8,UNI,4.931506849,49.51232877
ODR,0.902777778,0.888888889,1,0.8,1,0.888888889,1,0.888888889,0.8,UNI,5.095890411,49.67671233
ODR3,0.853333333,0.8,1,0.8,0.888888889,0.8,0.8,0.8,1,UNI,5.128767123,49.70958904
ODR3,0.876712329,1,0.888888889,0.666666667,0.727272727,0.888888889,1,1,1,UNI,5.161643836,49.74246575
ODR3,0.871428571,0.875,0.888888889,0.8,0.777777778,0.888888889,1,0.875,0.888888889,UNI,5.194520548,49.77534247
ODR,0.842105263,0.8,0.888888889,0.8,0.888888889,0.727272727,0.888888889,0.888888889,0.888888889,UNI,5.326027397,49.90684932
ODR3,0.927536232,1,1,1,1,0.888888889,1,0.888888889,0.727272727,UNI,5.35890411,49.93972603
ODR3,0.955223881,1,1,0.888888889,1,1,1,0.8,1,UNI,5.391780822,49.97260274
ODR3,0.930232558,1,1,0.625,1,1,1,1,1,UNI,5.424657534,50.00547945
ODR,0.933333333,1,1,1,1,0.875,1,0.875,0.777777778,UNI,5.556164384,50.1369863
ODR3,0.905882353,0.769230769,1,0.909090909,0.833333333,0.909090909,1,0.909090909,1,UNI,5.589041096,50.16986301
ODR3,0.941176471,0.888888889,0.888888889,1,0.888888889,1,1,1,0.888888889,UNI,5.621917808,50.20273973
ODR3,0.86440678,0.777777778,1,0.75,1,0.857142857,0.875,0.777777778,1,UNI,5.654794521,50.23561644
ODR,0.941176471,1,1,0.888888889,1,1,1,1,0.727272727,UNI,10.42191781,55.00273973
ODR3,0.916666667,0.888888889,0.888888889,1,1,1,0.888888889,0.8,0.9,UNI,10.45479452,55.03561644
ODR3,0.927536232,1,1,0.888888889,1,0.888888889,1,0.888888889,0.8,UNI,10.48767123,55.06849315
ODR,0.941176471,0.857142857,0.857142857,1,1,1,1,0.857142857,1,UNI,10.61917808,55.2
ODR3,0.935064935,0.9,1,1,1,0.9,1,0.9,0.818181818,UNI,10.65205479,55.23287671
ODR3,0.931034483,0.909090909,1,0.909090909,0.909090909,1,0.909090909,0.833333333,1,UNI,10.68493151,55.26575342
ODR3,0.928571429,1,0.8,0.888888889,1,1,0.888888889,1,0.9,UNI,10.71780822,55.29863014
ODR,0.941176471,0.888888889,1,1,1,0.888888889,1,0.888888889,0.888888889,UNI,10.84931507,55.43013699
