ID,DI,DI_1,DI_2,DI_3,DI_4,DI_5,DI_6,DI_7,DI_8,class_weight_1,class_weight_2,class_weight_3,class_weight_4,class_weight_5,class_weight_6,class_weight_7,class_weight_8,mature,age
OLI,15.47234153,5.69656873,8.22465837,4.67412819,3.974969306,2.066885843,7.990955158,35.39134917,59.56067806,0.133333333,0.106666667,0.133333333,0.12,0.133333333,0.133333333,0.12,0.12,-10.84931507,48.23013699
OLI,4.833598898,1.781358368,3.493202143,5.00959089,15.87787853,1.101764536,2.156120994,1.515954889,1.888024274,0.109589041,0.082191781,0.315068493,0.136986301,0.082191781,0.095890411,0.095890411,0.082191781,-10.81643836,48.2630137
OLI,11.30912986,32.14456196,6.718549101,1.799071672,10.29741528,28.9147994,2.735619103,2.399026476,3.828715469,0.108108108,0.135135135,0.148648649,0.135135135,0.148648649,0.108108108,0.108108108,0.108108108,-10.75068493,48.32876712
OLI,22.37526605,10.23101092,4.251562044,93.32468727,25.09990845,1.843401007,1.490375673,2.522527304,16.36115754,0.114942529,0.126436782,0.16091954,0.114942529,0.114942529,0.126436782,0.114942529,0.126436782,-10.61917808,48.46027397
OLI,3.355664492,4.450873107,8.207226523,2.634678849,3.265479406,2.447994766,1.057098001,1.444898325,3.540648883,0.121212121,0.121212121,0.136363636,0.121212121,0.136363636,0.121212121,0.121212121,0.121212121,-10.58630137,48.49315068
OLI,11.55915315,42.37311378,7.177148795,3.999288956,18.98310145,2.507945121,1.848316815,4.981342876,2.256682267,0.136363636,0.106060606,0.121212121,0.166666667,0.121212121,0.121212121,0.121212121,0.106060606,-10.55342466,48.5260274
OLI,26.03433874,77.71969684,5.311013404,76.59886503,3.738438222,0.760428923,1.481036789,1.35700405,2.459140677,0.136986301,0.123287671,0.178082192,0.109589041,0.109589041,0.109589041,0.123287671,0.109589041,-10.52054795,48.55890411
OLI,6.551038086,12.71792413,4.168536481,5.654688045,3.72468022,18.69653085,1.111229754,3.766506431,3.250194834,0.128571429,0.1,0.142857143,0.128571429,0.114285714,0.114285714,0.128571429,0.142857143,-10.35616438,48.72328767
OLI,15.09653318,5.887571337,12.55060902,29.02468206,26.66952398,17.71295992,4.217201972,17.84278725,5.948261157,0.12345679,0.111111111,0.135802469,0.12345679,0.111111111,0.111111111,0.135802469,0.148148148,-10.32328767,48.75616438
OLI,9.910811415,7.35894042,6.621417572,4.064001494,9.269374379,0.860731982,3.125775611,29.42013724,10.66965109,0.109589041,0.123287671,0.136986301,0.123287671,0.109589041,0.109589041,0.164383562,0.123287671,-10.29041096,48.7890411
OLI,53.10408215,70.98383167,32.15378677,28.20163968,24.86348301,5.957083199,11.08777997,11.11348736,195.7609032,0.118918919,0.124324324,0.12972973,0.124324324,0.118918919,0.108108108,0.118918919,0.156756757,-5.556164384,53.52328767
OLI,24.17966913,5.919476961,4.42413832,7.132659143,3.011850063,2.983961446,1.464196281,102.4117883,2.874879812,0.115384615,0.115384615,0.115384615,0.115384615,0.115384615,0.115384615,0.205128205,0.102564103,-5.556164384,53.52328767
OLI,7.564779636,20.30924759,7.075448695,5.583822197,1.601036457,14.23963598,1.970187406,8.891252106,2.159071374,0.111111111,0.12037037,0.148148148,0.111111111,0.12962963,0.12962963,0.12037037,0.12962963,-5.523287671,53.55616438
OLI,10.93222469,3.976466058,21.56967013,3.525539616,2.321963115,0.699744481,38.02008796,2.052608813,16.21755298,0.123076923,0.123076923,0.138461538,0.123076923,0.123076923,0.123076923,0.123076923,0.123076923,-5.490410959,53.5890411
OLI,2.920890735,2.107544254,7.982107511,2.572380615,0.741120362,1.012570217,3.234504778,2.446208555,2.678304523,0.115942029,0.130434783,0.115942029,0.115942029,0.115942029,0.144927536,0.144927536,0.115942029,-5.457534247,53.62191781
OLI,19.5687481,5.724309926,20.17947761,2.831564067,1.682999653,1.864370978,1.021831631,76.64247536,25.50021373,0.105882353,0.105882353,0.117647059,0.129411765,0.117647059,0.129411765,0.164705882,0.129411765,-5.326027397,53.75342466
OLI,37.40217935,126.8491885,124.2178176,3.630049645,1.940041886,2.137262837,5.186994471,2.374266411,4.153155703,0.132352941,0.147058824,0.117647059,0.117647059,0.117647059,0.117647059,0.117647059,0.132352941,-5.293150685,53.78630137
OLI,3.822002142,8.940034024,7.521856832,5.184811879,1.849251199,1.835399127,0.922230382,1.13825969,3.013822787,0.123076923,0.123076923,0.138461538,0.123076923,0.123076923,0.123076923,0.123076923,0.123076923,-5.260273973,53.81917808
OLI,4.880638798,4.109733205,8.133451552,10.22810878,3.730126849,2.016264827,3.932578493,0.902761166,5.673254639,0.115942029,0.130434783,0.130434783,0.115942029,0.130434783,0.115942029,0.130434783,0.130434783,-5.22739726,53.85205479
OLI,4.898661213,4.330610574,2.232387504,3.619591547,0.730045946,0.957813738,1.587727137,10.79169436,12.22731633,0.115942029,0.115942029,0.115942029,0.115942029,0.115942029,0.130434783,0.15942029,0.130434783,-5.063013699,54.01643836
