ID,DI,DI_1,DI_2,DI_3,DI_4,DI_5,DI_6,DI_7,DI_8,DI_9,DI_10,DI_11,DI_12,DI_13,DI_14,DI_15,DI_16,DI_17,DI_18,DI_19,DI_20,weekday,mature,age
ROS,48.23634807,50.512829,14.1589349,19.38215881,14.59275021,37.17151588,49.56519284,48.18522249,133.6220154,263.2786823,52.0524729,4.265586081,20.87322594,5.338415791,20.18002672,3.631156185,23.47472628,14.84000194,12.01434236,135.9579511,41.62975427,6,-20.25205479,45.79726027
UNI,42.91049706,2.760604302,18.66216447,7.814963092,6.829380682,1.083326184,16.4265835,10.86550021,46.56351942,12.7402442,12.55744727,0.503774779,0.829539293,12.35171611,3.600869304,0.917847525,176.7461089,276.4262457,123.5921144,7.274575416,119.6634165,4,-0.394520548,44.18630137
OLI,42.55692083,53.59467322,39.59221348,65.3760631,6.280498704,22.47314586,31.97521329,38.44047238,17.82812677,3.710931627,17.02692356,1.409781913,2.550426643,15.52176496,1.695302329,11.19504414,50.7543467,242.9176213,185.6120347,19.04923351,24.13459834,4,-5.523287671,53.55616438
UNI,41.82593693,7.184139413,6.626083064,4.884315615,8.88804139,2.105147233,2.838788503,7.151610895,6.432133356,3.295226119,20.79583663,3.577422063,13.51331108,90.85811672,11.61548486,21.33657676,36.27744002,186.7522219,161.4419166,140.3146449,100.6302815,4,-0.164383562,44.41643836
UNI,41.34901448,5.49192967,4.97636206,0.994216474,3.949497428,8.42743375,35.29047404,200.011065,17.44656463,3.595860769,20.1000032,10.65675044,19.51229054,151.7683769,6.331385172,30.46559356,2.736651287,244.7823402,33.25506682,6.422940939,20.76548664,4,-5.457534247,39.12328767
UNI,41.13832443,4.46049355,5.448677123,6.268388601,3.708589362,6.536878313,3.704849846,4.600390707,143.994296,4.755069921,38.94414004,139.1308639,31.57741907,35.24064508,3.785811619,20.40558526,2.158535719,2.337169878,186.7079103,170.7021572,8.298617178,5,-5.194520548,39.38630137
UNI,40.39564105,7.246212634,2.430211205,53.2304165,2.310353774,1.298525212,167.4718877,32.14995474,177.9435922,9.434391207,22.99026675,180.5298286,33.63016548,59.73721607,2.77271609,2.907761869,6.411197341,2.93807129,26.44739522,14.50926394,1.523393162,5,-4.734246575,39.84657534
ROS,40.00243904,2.019760242,1.77880883,12.09505463,58.16601511,17.86918482,20.34971837,6.229956232,112.0662863,166.3076237,42.58455684,8.47274288,31.45561661,5.566608925,2.028206415,11.99147365,137.8906663,49.76711916,79.71789632,28.52215455,5.169330941,6,-17.72054795,48.32876712
ROS,39.0043302,138.107554,7.534671077,95.20102489,4.274034222,32.48260826,6.967125696,111.6350632,126.0249426,21.48644348,9.635653097,3.548137652,31.65196387,61.74881893,5.965137431,33.4219023,46.54613606,10.36653787,10.07509628,11.15839322,12.25535991,4,-13.64383562,52.40547945
OLI,38.67689852,7.393769468,7.768687519,3.940179907,9.126910817,22.69197954,45.71686746,188.1709306,135.6616737,50.40387105,145.6621069,2.717846897,3.377524139,4.656115365,23.44118472,2.513045456,4.456288395,19.74540966,67.66241242,2.11306147,26.31810494,5,-12.39452055,46.68493151
