ID,session,mature,age,sex,hemi,anterior_cingulate_gyrus_contra,orbital_frontal_cortex_contra,lateral_prefrontal_cortex_contra,motor_cortex_contra,somatosensory_cortex_contra,superior_parietal_lobule_contra,inferior_parietal_lobule_contra,posterior_medial_cortex_contra,medial_temporal_lobe_contra,temporal_pole_contra,inferior_temporal_cortex_contra,superior_temporal_region_contra,core_and_belt_areas_of_auditory_cortex_contra,floor_of_the_lateral_sulcus_contra,middle_temporal_area_contra,extrastriate_visual_areas_2_4_contra,primary_visual_cortex_contra,lateral_and_ventral_pallium_contra,medial_pallium_contra,amygdala_contra,basal_ganglia_contra,diagonal_subpallium_contra,preoptic_complex_contra,hypothalamus_contra,prethalamus_contra,thalamus_contra,epithalamus_contra,pretectum_contra,midbrain_contra,pons_contra,cerebellum_contra,medulla_contra
ROS,4,-19.1,47.9,M,L,605.625,1521.5,1876.25,2806.625,1430.625,915.25,1286.875,676.625,295,330.75,1942.875,895.875,531.375,345.375,102.5,3396.5,2052.5,307,522.75,220.625,2399.875,159.875,166.625,166.25,33.5,901.75,14.5,25.875,645.625,862.5,3483.375,601.375
ROS,5,-15.8,51.2,M,L,638.25,1504.5,1855.5,2831.125,1422.25,947.5,1299.375,743.375,270,253.5,1973.125,859,535.75,366.125,109.75,3457.75,2147.125,334.375,537,228.375,2499.125,177,173.25,181.75,35.25,961.375,12.375,30,662,908,3615.375,632.75
ROS,6,-12.7,54.2,M,L,646.25,1697.875,2109.75,3187.875,1533.125,981.5,1348,724.625,355.625,381.625,2069.5,963,606.25,362.75,113.75,3524,2300,353.75,546.875,292,2366.625,166.375,191.75,213,36,895.875,15,29,742.625,986.75,3537.625,618.75
ROS,7,-9.5,57.4,M,L,654.125,1431.875,1888.5,2882.5,1464.125,945.375,1299.5,722.5,395.5,304.625,2107,933.75,540.875,376.125,107.125,3479.625,2216.25,339,569.75,266.5,2531.375,176.25,184.5,182.625,36.5,992,14.875,29.5,714.875,964.25,3739.375,672.875
ROS,8,-6.6,60.4,M,L,662.125,1536.375,1874.625,2846,1422.75,975.25,1308.875,727.75,354.375,316.5,2167.125,930.375,550.125,364.625,104.375,3572.625,2267.25,326.75,576.75,258.125,2525,193.375,179.75,189.75,40.25,961.75,15.375,30.75,709,968,3852.5,699.625
ROS,9,-2.5,64.5,M,L,636.25,1416.625,2019.5,3090,1490.375,946.75,1293.75,709,339.75,312.375,2078.5,908.875,553.875,357.75,108.5,3477.125,2232.5,342.625,595.75,256.375,2498.125,187,179.25,190.875,38.125,1000.375,17,28,713.25,968.25,3741,712.75
ROS,10,-0.4,66.6,M,L,666.625,1562,2014.375,3008.375,1515.25,985.125,1375.5,742.125,453.25,346,2151.25,935.625,557,374.125,105.5,3550.375,2301.625,352.25,616.25,285,2559.25,185.75,182,203.25,37.375,1025.25,15.25,34.25,728.75,1016.375,3903.875,732.75
ROS,11,3,70,M,L,641.875,1384.5,2033,3039.875,1453,925.75,1271.875,720.875,372.875,277.375,2016.625,848.375,548.375,370.5,108.375,3486.375,2190.125,340.5,583.375,263,2471.25,190.75,181.5,193.625,40.75,997.5,16.25,30.625,715,1041.25,3760.5,747.75
SON,1,-22.3,33.2,M,R,554.625,1280.375,1665.375,2338.625,1066,712.375,883.125,612.25,326.25,230.75,1675.625,718.25,388.625,290.5,80.125,2409.125,1737.125,264,545,218.125,2044.625,133.25,124.5,138.625,28.5,697.375,12,21.75,451.625,618.375,3227,475.5
SON,2,-18.3,37.1,M,R,562.875,1258.625,1852.75,2494.125,1122.625,786,967.375,611.75,313.625,198.875,1543,704,412.625,299.5,79.125,2500.25,1808,262.875,558.375,232.375,2059,151.25,140.875,153.75,27,710,11,22,487.625,620.875,3176.75,469.125
