ID,session,mature,age,sex,hemi,medial_temporal_lobe_contra,temporal_pole_contra,inferior_temporal_cortex_contra,superior_temporal_region_contra,core_and_belt_areas_of_auditory_cortex_contra,floor_of_the_lateral_sulcus_contra,middle_temporal_area_contra
VIK,2,-15.7,40.1,M,R,1.446129,1.518488,1.464141,1.458687,1.209931,1.230139,1.342243
VIK,3,-12.2,43.6,M,R,1.490566,1.728806,1.490944,1.481932,1.310158,1.241145,1.366248
VIK,4,-9.4,46.5,M,R,1.742012,1.858597,1.600443,1.509146,1.291787,1.210501,1.333917
VIK,5,-6.1,49.7,M,R,1.533586,1.682481,1.542175,1.510451,1.279349,1.250056,1.327554
VIK,6,-3.1,52.7,M,R,1.37452,1.750127,1.543115,1.545603,1.298528,1.279626,1.311923
VIK,7,0.1,56,M,R,1.722861,1.745899,1.57068,1.515763,1.255323,1.257105,1.392113
VIK,8,3.1,59,M,R,1.932299,1.924621,1.62627,1.559396,1.27465,1.252123,1.377132
VIK,9,7.2,63,M,R,1.818557,1.944122,1.572732,1.481743,1.255858,1.262908,1.311542
VIK,10,9.3,65.2,M,R,1.814943,1.800178,1.573813,1.501834,1.262472,1.228919,1.305527
VIK,11,12.7,68.5,M,R,1.774489,1.754057,1.535481,1.433382,1.226603,1.273796,1.310509
