mature,eff_dim,ID
35.6194520547945,11.9340523118721,All
35.8901369863014,14.8934994694687,All
36.4972602739726,11.7734749777414,All
35.9098630136986,12.268791330264,All
36.2167123287671,11.4791937093512,All
36.1893150684932,12.4903695956575,All
36.0435616438356,13.2642633180312,All
35.1854794520548,12.9229704584088,All
36.3646575342466,12.7866587604482,All
35.5230136986301,11.7189758452997,All
35.7739726027397,11.8615030236396,All
36.1991780821918,12.1110075677609,All
35.501095890411,13.1308127874082,All
35.3630136986301,12.4942901012479,All
36.0698630136986,11.5762130893514,All
36.6320547945205,13.1518193479702,All
35.6950684931507,10.9944136630421,All
37.9723287671233,13.9415476747239,All
37.3695890410959,14.5438177950295,All
37.6106849315068,14.1206905771643,All
37.4583561643836,13.4862183421279,All
37.526301369863,13.7659206274676,All
37.2665753424658,14.0952138699064,All
38.1619178082192,12.460177440677,All
37.7794520547945,13.4301878638182,All
37.1690410958904,15.8990754267037,All
37.6457534246575,14.6959523878729,All
37.5471232876712,12.696733837911,All
37.4813698630137,15.5457597675399,All
37.7915068493151,14.4473558944773,All
37.7586301369863,13.8692410371274,All
37.2950684931507,13.5092280875692,All
37.5778082191781,12.8096642814563,All
37.6578082191781,14.609541946487,All
37.8123287671233,15.0145833031448,All
37.8232876712329,13.1051284342692,All
37.6720547945206,14.0320902755808,All
38.2134246575342,14.1184753186263,All
37.072602739726,15.473158701896,All
37.6939726027397,14.7688983609958,All
37.952602739726,14.7596068357497,All
37.713698630137,12.7429853062879,All
37.8649315068493,14.1748788666865,All
37.6315068493151,13.148765101581,All
38.0391780821918,13.6752110373875,All
37.5602739726027,13.71753434983,All
38.1312328767123,14.3172169843403,All
37.2841095890411,14.6035486633747,All
37.4331506849315,13.6473154599899,All
36.6386301369863,14.4740987851109,All
37.4715068493151,15.5249674265162,All
37.7542465753425,11.2854347627568,All
36.9717808219178,13.5604887475543,All
37.8616438356164,11.3893931507168,All
38.1630136986301,15.0972573303812,All
38.0238356164383,13.7154774740663,All
37.1493150684931,15.1162693676212,All
37.3695890410959,14.067271073937,All
36.967397260274,14.8045329701141,All
37.8221917808219,14.5479006931454,All
37.1,14.7361072183733,All
36.9783561643836,14.0593880358818,All
37.5843835616438,15.3745355916596,All
36.8545205479452,13.6561023992499,All
37.6830136986301,11.07077131731,All
37.7169863013699,14.6625780475901,All
37.2852054794521,13.5493644428066,All
37.4627397260274,16.324311455958,All
37.9383561643836,14.6166492515917,All
38.2517808219178,14.9993203590161,All
37.366301369863,12.7675809277452,All
37.9076712328767,13.8469475524026,All
37.5328767123288,14.8171244736237,All
37.3706849315068,14.1278327870587,All
37.9854794520548,13.3255493086444,All
37.9778082191781,11.8526687289486,All
38.487397260274,15.7616538114655,All
37.8079452054794,15.4096752427315,All
37.6315068493151,13.8967932890511,All
37.9865753424657,14.6543395755407,All
37.0791780821918,14.7640420760585,All
37.1515068493151,13.5531615583099,All
37.4221917808219,14.8532204517139,All
37.9438356164384,12.2625047419376,All
37.5712328767123,15.1226126160597,All
37.5372602739726,14.7125701751295,All
37.8846575342466,12.3378024638823,All
37.6293150684931,14.3819875377912,All
38.298904109589,14.6303514557405,All
37.9460273972603,15.2833224870694,All
37.6830136986301,15.9561513454355,All
38.0402739726027,14.3076322519282,All
38.0128767123288,15.5001886689045,All
37.7652054794521,13.5091437756751,All
37.8408219178082,14.6590897344595,All
38.0315068493151,15.1774072557186,All
37.5021917808219,14.3553400489568,All
38.2386301369863,14.8619799003261,All
37.9186301369863,13.9155480130475,All
37.8101369863014,16.4003895073382,All
37.7005479452055,13.2200467065164,All
