predictor,fit,model_name
9.200498132,0.401918259,ACR
9.683686177,0.402839733,ACR
10.16687422,0.403760059,ACR
10.65006227,0.404679167,ACR
11.13325031,0.405596991,ACR
11.61643836,0.406513463,ACR
12.0996264,0.407428516,ACR
12.58281445,0.408342113,ACR
13.06600249,0.409254284,ACR
13.54919054,0.410165089,ACR
14.03237858,0.411074643,ACR
14.51556663,0.411983069,ACR
14.99875467,0.412890492,ACR
15.48194272,0.413797039,ACR
15.96513076,0.414702848,ACR
16.44831881,0.415608062,ACR
16.93150685,0.41651282,ACR
-30.90410959,0.286731155,ALIC
-30.42092155,0.28761362,ALIC
-29.9377335,0.288496085,ALIC
-29.45454546,0.289378549,ALIC
-28.97135741,0.290261014,ALIC
-28.48816937,0.291143479,ALIC
-28.00498132,0.292025944,ALIC
-27.52179328,0.292908409,ALIC
-27.03860523,0.293790873,ALIC
-26.55541719,0.294673338,ALIC
-26.07222914,0.295555803,ALIC
-25.5890411,0.296438268,ALIC
-25.10585305,0.297320733,ALIC
-24.62266501,0.298203198,ALIC
-24.13947696,0.299085662,ALIC
-23.65628892,0.299968127,ALIC
-23.17310087,0.300850592,ALIC
-22.68991283,0.301733057,ALIC
-22.20672478,0.302615522,ALIC
-21.72353674,0.303497987,ALIC
-21.24034869,0.304380451,ALIC
-20.75716065,0.305262916,ALIC
-20.2739726,0.306145381,ALIC
-19.79078456,0.307027846,ALIC
-19.30759651,0.307910311,ALIC
-18.82440847,0.308792776,ALIC
-18.34122042,0.30967524,ALIC
-17.85803238,0.310557705,ALIC
-17.37484433,0.31144017,ALIC
-16.89165629,0.312322635,ALIC
-16.40846824,0.3132051,ALIC
-15.9252802,0.314087565,ALIC
-15.44209215,0.31497003,ALIC
-14.95890411,0.315852495,ALIC
-14.47571607,0.316734959,ALIC
-13.99252802,0.317617424,ALIC
-13.50933998,0.318499889,ALIC
-13.02615193,0.319382354,ALIC
-12.54296389,0.320264819,ALIC
-12.05977584,0.321147284,ALIC
-11.5765878,0.322029749,ALIC
-11.09339975,0.322912214,ALIC
-10.61021171,0.323794679,ALIC
-10.12702366,0.324677144,ALIC
-9.643835617,0.325559609,ALIC
-9.160647572,0.326442074,ALIC
-8.677459527,0.327324539,ALIC
-8.194271482,0.328207004,ALIC
-7.711083437,0.329089469,ALIC
-7.227895392,0.329971934,ALIC
-6.744707348,0.330854399,ALIC
-6.261519303,0.331736864,ALIC
-5.778331258,0.332619329,ALIC
