d,mature,ID,r2,fixrate,age
0.156031149,7.857534247,SON,0.892921686,2.421875,62.56438356
0.160308376,-2.991780822,ROS,0.635651784,11.65104167,63.05753425
0.161516675,2.531506849,SON,0.865078361,3.001736111,57.23835616
0.16983672,-9.994520548,TRI,0.723327305,0.65625,39.81369863
0.170669029,11.63835616,UNI,0.654731457,1.75,56.21917808
0.170871057,-12.62465753,OLI,0.93385644,0.848214286,46.45479452
0.1715635,-19.39726027,ROS,0.94117647,0.575,46.65205479
0.172476863,11.60547945,UNI,0.499999999,0.515625,56.18630137
0.173786314,-9.928767123,TRI,0.644736842,2.25,39.87945205
0.175249556,2.301369863,SON,0.639999999,0.59375,57.00821918
0.175538364,-3.287671233,ROS,0.666666666,2.703125,62.76164384
0.197318458,-11.76986301,SON,1,0.697916667,42.9369863
0.198052774,-18.96986301,PIC,0.748510247,8.354166667,58.58630137
0.198849621,7.134246575,SON,0.954692031,2.015625,61.84109589
0.199941693,-12.62465753,OLI,0.626068177,3.696428571,46.45479452
0.201002027,1.052054795,ROS,0.581818182,4.5,67.10136986
0.205557642,-19.36438356,ROS,1,0.788194444,46.68493151
0.210274829,11.30958904,TRI,0.5,1.75,61.11780822
0.210804683,-15.02465753,PIC,0.64,0.5,62.53150685
0.214650677,6.312328767,TRI,0.702002663,0.8375,56.12054795
0.214817035,6.016438356,TRI,0.506552323,16.70833333,55.82465753
0.214933428,-5.194520548,UNI,0.999999999,0.5625,39.38630137
0.215369248,16.37260274,UNI,0.673014539,33.39285714,60.95342466
0.217920181,-19.82465753,ROS,0.669354076,14.4375,46.22465753
0.217920181,-19.82465753,ROS,0.669354076,14.4375,46.22465753
0.218489191,-2.761643836,ROS,0.692889405,4.9375,63.28767123
0.218562627,-5.260273973,UNI,0.642892634,7.105902778,39.32054795
0.218990098,10.42191781,UNI,0.881137947,51.734375,55.00273973
0.220968945,-2.794520548,ROS,0.74474789,2.515625,63.25479452
0.221517414,5.326027397,OLI,0.501814748,2.783730159,64.40547945
0.222439976,2.301369863,SON,0.550522619,2.046875,57.00821918
0.222455886,11.57260274,TRI,0.514115584,11.828125,61.38082192
0.222553105,5.819178082,TRI,0.786080579,2.916666667,55.62739726
0.222696364,-10.09315068,SON,0.711358024,1.515625,44.61369863
0.223276216,2.268493151,SON,0.546388437,2.96875,56.97534247
0.224187309,0.361643836,UNI,0.788622272,4.25,44.94246575
0.224187309,0.361643836,UNI,0.788622272,4.25,44.94246575
0.224207691,11.34246575,UNI,0.536342284,1.796875,55.92328767
0.224234719,-15.05753425,PIC,0.748159047,1.71875,62.49863014
0.224430857,-10.81643836,SON,0.682092401,4.864583333,43.89041096
